[2023-07-04T14:14:13.526Z] debug: 	Importing configs...
[2023-07-04T14:14:13.628Z] info: 	Commit hash: 65ba6c1080f14754357baa1d12c354b84f07b11e
[2023-07-04T14:14:13.712Z] info: 	模组加载器：正在加载2模组...
[2023-07-04T14:14:13.722Z] error: 	(ServerValueModifier1.6.4)模组是一个客户端修改模组，应当置于/spt/bepinex/plugins目录下
[2023-07-04T14:14:13.735Z] info: 	已成功加载由Damkris编写的1.2.0版KeyBlindBox模组
[2023-07-04T14:14:13.783Z] info: 	服务端：正在执行启动回调...
[2023-07-04T14:14:13.798Z] info: 	正在导入数据库...
[2023-07-04T14:14:16.245Z] debug: 	File validation failed for file: Aki_Data/Server/database/hideout/areas.json
[2023-07-04T14:14:16.294Z] debug: 	File validation failed for file: Aki_Data/Server/database/locales/server/zh.json
[2023-07-04T14:14:16.594Z] debug: 	File validation failed for file: Aki_Data/Server/database/locations/bigmap/base.json
[2023-07-04T14:14:16.596Z] debug: 	File validation failed for file: Aki_Data/Server/database/locations/factory4_night/base.json
[2023-07-04T14:14:16.596Z] debug: 	File validation failed for file: Aki_Data/Server/database/locations/factory4_day/base.json
[2023-07-04T14:14:16.599Z] debug: 	File validation failed for file: Aki_Data/Server/database/locations/interchange/base.json
[2023-07-04T14:14:16.601Z] debug: 	File validation failed for file: Aki_Data/Server/database/locations/rezervbase/base.json
[2023-07-04T14:14:16.602Z] debug: 	File validation failed for file: Aki_Data/Server/database/locations/shoreline/base.json
[2023-07-04T14:14:16.605Z] debug: 	File validation failed for file: Aki_Data/Server/database/traders/54cb50c76803fa8b248b4571/base.json
[2023-07-04T14:14:16.608Z] debug: 	File validation failed for file: Aki_Data/Server/database/locations/woods/base.json
[2023-07-04T14:14:16.615Z] debug: 	File validation failed for file: Aki_Data/Server/database/globals.json
[2023-07-04T14:14:16.779Z] debug: 	File validation failed for file: Aki_Data/Server/database/locations/tarkovstreets/base.json
[2023-07-04T14:14:20.534Z] info: 	Database import finished.
[2023-07-04T14:14:22.761Z] succ: 	已在http://127.0.0.1:6969成功启动webserver
